$M [GeV/c^{2}]$
1
$1/N dN/dM [c^{2}/GeV]$
$R = 0.2$
yes
none
none
2
stat
symmetric
syst
symmetric
0-1	0.00941232	0.000999392	0.00638336
1-2	0.101762	0.00379754	0.0159861
2-3	0.313042	0.0061845	0.0415901
3-4	0.299475	0.00479054	0.0101791
4-5	0.16435	0.00230714	0.0350276
5-6	0.0746417	0.000975978	0.0233399
6-7	0.0251031	0.000464513	0.00984932
7-8	0.0109558	0.000250402	0.00606028
8-9	0.000982143	7.65714e-05	0.00182073
9-10	0.000277039	2.11211e-05	0.000551595
10-11	0	0	0
11-12	0	0	0
12-13	0	0	0
13-14	0	0	0
***
