$M_{g} [GeV/c^{2}]$
1
$1/N dN/dM_{g} [c^{2}/GeV]$
$25 < p_{T,jet} < 30 GeV/c$
yes
none
none
2
stat
symmetric
syst
symmetric
0-1	0.0266069	0.000749739	0.00550161
1-2	0.115839	0.00153508	0.013567
2-3	0.196158	0.00179781	0.0340976
3-4	0.222147	0.00188552	0.014615
4-5	0.179149	0.00146581	0.00708299
5-6	0.126844	0.00110658	0.00823057
6-7	0.0804032	0.000793564	0.0059764
7-8	0.033119	0.000358218	0.00972989
8-9	0.0141222	0.000161139	0.00543365
9-10	0.00428845	9.32656e-05	0.0056909
10-11	0.000849221	3.35899e-05	0.00116923
11-12	0.000474419	1.9704e-05	0.000390517
12-13	0	0	0
13-14	0	0	0
***
