$M_{g} [GeV/c^{2}]$
1
$1/N dN/dM_{g} [c^{2}/GeV]$
$R = 0.2$
yes
none
none
2
stat
symmetric
syst
symmetric
0-1	0.0341019	0.00267821	0.00742757
1-2	0.189833	0.00514707	0.0115112
2-3	0.306899	0.0056191	0.0375699
3-4	0.255813	0.00568775	0.00940599
4-5	0.131661	0.00238029	0.024046
5-6	0.0556413	0.00108495	0.014743
6-7	0.0173895	0.000333357	0.00675276
7-8	0.00776601	0.000235869	0.0047203
8-9	0.000761389	9.95806e-05	0.0013308
9-10	0.000134853	9.047e-06	0.000474571
10-11	0	0	0
11-12	0	0	0
12-13	0	0	0
13-14	0	0	0
***
