$M [GeV/c^{2}]$
1
$1/N dN/dM [c^{2}/GeV]$
$25 < p_{T,jet} < 30 GeV/c$
yes
none
none
2
stat
symmetric
syst
symmetric
0-1	0.00299062	0.000253675	0.000754488
1-2	0.0260837	0.000923592	0.00466609
2-3	0.121365	0.00173311	0.0229518
3-4	0.215869	0.00225827	0.0259084
4-5	0.250924	0.00198363	0.0103893
5-6	0.184901	0.00140542	0.00896538
6-7	0.119857	0.00101963	0.0156164
7-8	0.0516947	0.000481523	0.0124759
8-9	0.018347	0.000192788	0.00619326
9-10	0.00615897	0.000100212	0.00645343
10-11	0.00132146	3.66506e-05	0.00142758
11-12	0.00048772	2.06387e-05	0.000305471
12-13	0	0	0
13-14	0	0	0
***
